writer,location,date,time,news,title,class
الرياضية,مكة المكرمة,2021-01-02,08:31,حرم فريق التعاون الأول لكرة القدم مضيفه الأهلي اعتلاء الصدارة بالفوز بثلاثية نظيفة المواجهة جمعت الفريقين مدينة الملك عبدالعزيز الشرائع ختام مباريات الجولة الحادية عشر دوري كأس محمد بن سلمان للمحترفين سجل ثلاثية الفريق القصيمي شوط المباراة الأول السنغالي عبدالله ساني 30 وعبدالله الجوعي 35 والكاميروني ليندر تاوامبا 45 ليرفع التعاون رصيده 17 نقطة ويقفز المركز السادس بينما تجمد رصيد الأهلي 22 نقطة وبقي المركز الثاني جاءت بداية المباراة قوية جانب الفريقين خاصة الضيوف وتلقى الصربي فلادان ميليوفيتش ضربة موجعة بإصابة إدريس فتوحي لاعب الفرق ليجري تبديلا مبكرا مرور 7 دقائق فقط انطلاقة اللعب وسيطر لاعبو التعاون مجريات اللعب ليتمكن السنغالي عبدالله ساني افتتاح التسجيل مستفيدا عرضية الكاميروني ليندر تاوامبا الدقيقة 30 قبل يعود عبدالله الجوعي ويضاعف النتيجة بتسديدة قوية فشلت معها محاولات محمد العويس حارس مرمى الأهلي الدقيقة 35 وقبل ينتهي الشوط الأول وضع الكاميروني بصمته بهدف ثالث بصناعة الجوعي الدقيقة 45 وألغى محمد الهويش حكم المباراة هدفا سجله لاعب التعاون حسن كادش الدقائق الأخيرة الوقت بدلا الضائع بحجة وقوعه مصيدة التسلل لينتهي شوط المباراة الأول بثلاثية نظيفة للضيوف انطلاقة الشوط الثاني كان الجوعي قريبا تسجيل الهدف الشخصي الثاني والرابع لفريقه تدخل عبدالله حسون الوقت المناسب أبعد الكرة ركلة ركنية قبل يعود الهويش مرة ثانية ويلغي هدفا لساني مهاجم التعاون بحجة التسلل الدقيقة 61 وواصل لاعبو التعاون ضغتهم وسط حالة الشرود الذهني لاعبي الأهلي افتقدوا للتركيز لتكثر أخطاء التمرير وكاد البوروندي سيدريك أميسي لاعب التعاون يضيف الرابع براعة محمد العويس التصدي آخر دقائق أحداث المباراة كثف لاعبو الأهلي هجماتهم قابله تراجع لاعبي التعاون لحماية منطقتهم الدفاعية ويطلق حكم المباراة صافرة النهاية بفوز أصفر بريدة بثلاثية الفريق الغربي ويحل الأهلي ضيفا القادسية الجمعة المقبل بينما يستضيف التعاون جاره الرائد ديربي القصيم ضمن الجولة 12 دوري المحترفين,ثلاثية التعاون تبدد أحلام الأهلي الصدارة,1
الرياضية,بريدة,2021-01-02,05:34,فرط فريق الرائد الأول لكرة القدم فوز كان يديه قبل ينتفض نظيره القادسية ويلحق الوقت القاتل كان متأخرا بهدفين ضمن مباريات الجولة 11 دوري كأس محمد بن سلمان للمحترفين السبت وحافظ بذلك الفريق الشرقي المركز العاشر بزيادة رصيده 14 نقطة كان مهددا بخسارته حال هزيمته الرائد رفع عدد نقاطه 12 المركز 12 وقدم الصربي نيمانيا نيكوليتش مهاجم الرائد أهم مبارياته خلال الموسم الجاري عندما افتتح التسجيل الدقيقة 14 مستثمرا تمريرة متقنة عبدالله المقرن واصل نيكوليتش يقظته الهجومية المواجهة ومنح أصحاب الأرض الهدف الثاني قبل انقضاء الشوط الأول بتصويبة قوية 44 الشوط الثاني نجح الكولومبي دانيلو أسبريا العائد الإصابة تسجيل هدف التقليص مبكرا 55 وقبل تلفظ المواجهة أنفاسها تمكن ستانلي أوهايتشو إدارك هدف التعديل للضيوف 91 وتشهد الجولة المقبلة 12 ديربي القصيم المرتقب الرائد والتعاون السبت التاسع يناير الجاري يلاقي القادسية نظيره الأهلي الجمعة الثامن الشهر والجولة ذاتهما,انتفاضة قدساوية تحرم الرائد الفرحة,1
الرياضية,الرياض,2021-01-02,02:46,اقتنص فريق الوحدة الأول لكرة القدم فوزا مضيفه الاتفاق 2ـ1 المباراة جمعتهما ملعب محمد بن فهد الدمام ضمن مباريات الجولة 11 دوري كأس محمد بن سلمان للمحترفين محققا بذلك فوزه الرابع التوالي المسابقة سجل ثنائية الوحدة المالي الفرنسي يوسف نياكاتي الدقيقتين 52 و 89 بينما سجل للاتفاق فيليب كيش ركلة جزاء الدقيقة 68 النتيجة رفعت رصيد الوحدة 18 نقطة وقفز المركز الخامس بينما بقي الاتفاق 17 نقطة وتراجع المركز السادس جدول ترتيب مسابقة الدوري,الوحدة يعبر الاتفاق,1
عبد الله أحمد,جدة,2021-01-02,02:44,ركز الصربي فلادان ميليوفيتش مدرب فريق الأهلي الأول لكرة القدم التدريب الختامي التسديدات البعيدة والكرات الثابتة لفك شفرة دفاع التعاون يستضيفه ملعب مدينة الملك عبد الله الرياضية الجوهرة المشعة جدة ضمن الجولة 11 دوري كأس محمد بن سلمان للمحترفين وأنهى الفريق تحضيراته استعدادا للمواجهة يخطط الأهلاويون عبرها انتزاع الصدارة حال فوزهم عقب تعثر الهلال بالتعادل أمام الشباب الجولة ذاتها,الأهلي ينهي مخطط الصدارة,0
عبد الرحمن مشبب,الرياض,2021-01-02,02:42,كشفت الرياضية مصادر خاصة عضو مجلس إدارة رابطة دوري المحترفين السعودية طرح الاجتماع عقد قبل يومين موضوع متأخرات الأندية الرابطة وبينت المصادر نفسها الرابطة ستحصر حقوق الأندية خلال الفترة الماضية أجل حلها وتسليمها حسب الطريقة سيتم الاتفاق عليها الأطراف جانبه أوضح الرياضية عبد العزيز العفالق رئيس رابطة الدوري السعودي للمحترفين المبالغ المستحقة للأندية فترات ماضية يكن المواضيع عقد الاجتماع بشأنها ونحتاج حصر مبالغ الأندية تمر بمراحل وإجراءات قانونية ومالية تتطلب التعامل التحديات الوقت الجاري يمكن أدلي بإجابة واضحة لأن الموضوع كان عرضيا وختم العفالق حديثه بأنه تم الاتفاق الأندية إرسال أسماء عدة شركات تسويقية تقم بعملها بالصورة المطلوبة وسيتم حصرها وإرسالها للأندية لأخذ الحيطة والحذر,الرابطة تحصر متأخرات الأندية,2
نايف البدراني,بريدة,2021-01-02,02:42,أوضحت الرياضية مصادر خاصة إدارة نادي الرائد سددت كامل مستحقات نادي الوشم المترتبة النادي كبدل تدريب للاعب عبد الله المقرن المنتقل قبل موسمين تقريبا الوشم الرائد وأضافت المصادر المبلغ دفعه النادي القصيمي 500 ألف ريال صدر قرار لجنة الانضباط والأخلاق اتحاد الكرة بوجوب السداد أجرته إدارة الرائد وأبانت المصادر نادي الرائد استوفى كافة شروط لجنة الكفاءة المالية تخول للفريق قيد لاعبين جدد خلال فترة الانتقالات المقبلة لتدعيم صفوف النادي,الرائد يستوفي شروط الكفاءة المالية,0
الرياضية,الدمام,2021-01-02,02:41,كشفت الفحوصات الطبية جرت للجزائري رايس مبولحي قائد فريق الاتفاق الأول لكرة القدم ظهر أمس إصابته بتمزق الدرجة الثانية الرباط الجانبي للركبة ويحتاج 6 أسابيع قبل العودة التدريبات الجماعية وأشارت المصادر مبولحي سيدخل برنامج تأهيلي طبي المرحلة الأولى قبل ينتقل المرحلة الثانية يخضع لبرنامج لياقي مدرب اللياقة النادي الأحمر وكان رايس مبولحي تعرض للإصابة بالتواء ركبته قبل نهاية التدريب الأخير جرى أمس الأول ملعب عبد الله الدبل النادي,الرباط يبعد مبولحي,0
فيصل الشريف,جدة,2021-01-02,02:40,ينتظر يعتمد البرازيلي فابيو كاريلي مدرب فريق الاتحاد الأول لكرة القدم خلال تدريبات الفريق اليوم وغدا خماسي الفريق الأجنبي سيشارك مواجهة الشباب غد الإثنين ضمن إياب نصف نهائي البطولة العربية وأشارت المصادر البرازيلي سيستبعد أحد الأجانب إضافة البرازيلي برونو هنريكي لاعب الوسط يغيب بسبب وجوده البحرين 5 أيام ويحق للفريق ضم 5 لاعبين أجانب فقط المباراة بسبب نظام الاتحاد العربي لكرة القدم,كاريلي يحدد أجانب العربية,0
سعد الفراج,الرياض,2021-01-02,02:40,بدأ عبد الفتاح آدم مهاجم فريق الرائد الأول لكرة القدم برنامجه التأهيلي يد الدكتور محمد البلوي مدينة الدمام وفقا لمصادر خاصة الرياضية ويستمر برنامج آدم طوال الأشهر الخمسة المقبلة مراحل دخوله التدريبات الجماعية لفريقه الرائد استعاره ناديه الأصلي النصر فترة الانتقالات الصيفية الماضية وكان آدم أجرى عملية الرباط الصليبي الرياض يد الدكتور محمد البلوي ديسمبر الماضي وأصيب آدم مواجهة فريقه أمام العين دوريا شارك لمدة 15 دقيقة غادر بعدها الملعب متأثرا بالإصابة,آدم يبدأ رحلة العودة,0
عبد الإله المرحوم,الرياض,2021-01-02,02:38,يسابق الإسباني خوان دوكي طبيب فريق الهلال الأول لكرة القدم الزمن أجل تجهيز الثنائي الكوري الجنوبي جانج هيون والدولي علي البليهي المدافعين استعدادا لمواجهة الباطن الجولة 12 دوري كأس محمد بن سلمان للمحترفين ووفقا للمصادر نفسها يكثف الإسباني خوان البرنامج التأهيلي واللياقي للثنائي إضافة عبد الله المعيوف حارس المرمى يعاني إصابة التمزق شهرين ويخضع الآن لتدريبات خاصة بالكرة نهاية برنامجه التأهيلي برفقة البرتغالي جوزيه موريرا مدرب حراس المرمى يواصل مد الله العليان برنامجه التأهيلي جانب هتان باهبري زميله عيادة النادي الأزرق وسيغيب الثنائي مواجهة الباطن المقبلة دوريا ملعب الملك فهد الدولي بالرياص,دوكي يجهز هيون والبليهي,0
عبد الله الحنيان,الرياض,2021-01-02,02:37,صادق الإسباني فيرناندو تيرساكو رئيس لجنة الحكام الاتحاد السعودي لكرة القدم صحة قرارات أطقم التحكيم لمواجهتي أمس الأول جمعتا الفيصلي بالنصر والهلال بالشباب واستعرض الإسباني حسابه الرسمي موقع التواصل الاجتماعي تويتر لقطتين لقاء الفيصلي والنصر حالة ركلة جزاء الفيصلي الدقيقة 79 مجريات اللقاء وإلغاء الهدف النصراوي الدقيقة 43 إضافة هدف ياسر الشهراني الملغى لقاء الهلال والشباب مؤكدا صحة القرارات المتخذة,تيرساكو يدعم حكام الجولة,0
عبد الغني عوض,جدة,2021-01-02,02:24,يوم سبت نطرح القضية الرياضية الأهم ونشكلها طريقة سؤال واحد ونستضيف ثلاثة وجوه رياضية لتدلي بدلوها وتضع أطروحاتها محاولة جادة تبحث الاستنارة بآراء متباينة 1 بندر الجارالله الاتحاد الأقرب الفوز التطور الملحوظ أدائه وتنظيمه الدفاعي والهجومي الإضافات الجديدة للاعبين المحترفين فضلا الفارق الكبير الإمكانات تمنحه التفوق بنسبة 70 المئة الرغم ظهور الشباب بمستوى مميز الاتحاد يتفوق 2 أحم البحري صعب التكهن بنتيجة لقاء الفريقين فالاتحاد يقدم مستوى مميزا الموسم خاصة خط الدفاع تخلص أخطائه بالتعاقد المصري أحمد حجازي الروح العالية والحماس المعروفين لاعبي الاتحاد والشباب تفوق نفسه آخر جولتين خاصة أمام الهلال يصعب مهمة الاتحاد أمامه 3 عمرو أنور المستوى يقدمه الاتحاد الموسم بقيادة البرازيلي كاريلي يجعله منافسا قويا الدوري الممتاز البطولة العربية فقط خاصة أدرك المدرب إمكانات اللاعبين وطوعها لخدمة الأداء الجماعي قوة الدفاع انضمام حجازي الوقت نغفل استقرار مستوى الشباب الاتحاد أفضل,ظل مستويات الاتحاد والشباب الجولات الأخيرة الأقرب بلوغ نهائي العرب غد,2
عبد الله أحمد,جدة,2021-01-02,01:59,دخل الغاني صامويل أوسو الجناح الأيمن معسكر فريق الأهلي الأول لكرة القدم استعدادا لمواجهة التعاون اليوم ضمن منافسات الجولة 11 الدوري وشارك أوسو التدريبات الجماعية للفريق الأيام الماضية وضمه فلادان المدرب معسكر أمس اكتمال جاهزيته الاصابة وستحدد مشاركة اللاعب البالغ 24 عاما التشكيلة الأساسية عدمها خلال الاجتماع الفني يسبق اللقاء ظهر اليوم وانضم أوسو الأهلي أكتوبر الماضي لمدة موسم واحد قادما الفيحاء ولعب الآن ست مباريات سجل خلالها ثلاثة أهداف وصنع هدفا,أوسو المعسكر,0
عبد الله العبيد,بريدة,2021-01-02,01:58,كشف التدريب الختامي لفريق التعاون الأول لكرة القدم أمس تركيز الفرنسي باتريس كارتيرون المدرب الكرات العرضية واللمسة الواحدة خلال الاستعداد لمواجهة الأهلي اليوم خارج القواعد ضمن الجولة 11 دوري كأس محمد بن سلمان للمحترفين وبدأ كارتيرون التدريبات بكلمة تشجيعية للاعبين حثهم العودة بالنقاط الكاملة للمباراة فرض تمارين لياقية قبل يقسم اللاعبين مجموعات عدة ويدربهم تمرير الكرات مساحة ضيقة لمسة واحدة جانب لعب العرضيات واختتم المدرب الحصة التدريبية بمناورة التشكيلة الأساسية والفريق الرديف طبق عددا الجمل الفنية والتكتيكية,كارتيرون يعتمد العرضيات,0
نايف البدراني,بريدة,2021-01-02,01:57,أنهى فريق الرائد الأول لكرة القدم أمس تحضيراته لاستقبال القادسية اليوم ضمن الجولة 11 دوري كأس محمد بن سلمان للمحترفين بحصة تدريبية ركز البلجيكي بيسنيك هاسي مدرب الفريق تعزيز الجوانب الدفاعية عبر محطات عدة فرض هاسي خلال الحصة عددا الجمل الفنية والتكتيكية تنوعت التدريبات اللياقية والسرعة وبناء الهجمة واللعب لمسة واحدة واختتمها بمناورة كروية صحح خلالها الأخطاء وقع الفريق المباراة السابقة خسرها أمام الأهلي 1ـ2 ويحتل الرائد المركز 14 برصيد 11 نقطة جمعها ثلاثة انتصارات وتعادلين وسجل الفريق 12 هدفا استقبلت شباكه 15,هاسي يعزز الدفاع,0
حسين الخيواني,الدمام,2021-01-02,01:57,فرض التونسي يوسف المناعي مدرب فريق القادسية الأول لكرة القدم أمس حصة تدريبية غلب عليها الطابع الترفيهي قبل يستقل لاعبوه الطائرة طريقهم بريدة لملاقاة الرائد اليوم ضمن الجولة 11 دوري كأس محمد بن سلمان للمحترفين وبدأ المدرب التدريبات 01 00 ظهرا ملعب النادي بتطبيق جمل عدة شرح النهج التكتيكي للمباراة وكشف مدى قوة المنافس تناول الجميع وجبة الغداء قبل التوجه المطار استعدادا للسفر يسافر أحمد الفريدي لاعب الفريق البعثة فضل المناعي الإبقاء الخبر لتحضيره أجل المباريات المقبلة ويملك الفريق 13 نقطة المركز 11 وخسر نتيجة المواجهة الأخيرة أمام الاتفاق ديربي الشرقية 1ـ2,القادسية يستعد بالترفيهي,0
الرياضية,الرياض,2021-01-02,01:56,يسعى فريق التعاون الأول لكرة القدم اليوم تسجيل فوزه الأول خارج قواعده عندما يلاقي الأهلي ضمن الجولة 11 دوري كأس محمد بن سلمان للمحترفين ملعب مدينة الملك عبد العزيز الشرائع ولعب الفريق خمس مباريات خارج بريدة جمع خلالها ثلاث نقاط فقط بالتعادل أمام أبها 0 0 والباطن 1 1 والاتحاد 1 1 بينما خسر أمام العين والقادسية 0ـ1 المباراتين وحقق الفريق إجمالا ثلاثة انتصارات ملعبه أمام الشباب 4ـ0 والوحدة 1ـ0 والنصر 1ـ0 وتعادل 1 1 أمام الفيصلي والاتفاق ويحتل التعاون حاليا المركز الثامن برصيد 14 نقطة ويملك أضعف خط هجوم بعشرة أهداف لكنه المقابل يملك الخط الدفاعي الأقوى بستة أهداف مرماه مناصفة الهلال,التعاون يطارد الفوز الأول,0
عبد الله أحمد,جدة,2021-01-02,01:55,ركز الصربي فلادان ميلويفيتش مدرب فريق الأهلي الأول لكرة القدم التدريب الختامي أمس استعدادا لاستقبال التعاون التسديدات البعيدة والكرات الثابتة لفك شفرة دفاع المنافس يعد الأقوى الدوري بستة أهداف فقط شباكه مناصفة الهلال وبدأ المدرب الحصة التدريبية بعدد الجمل اللياقية قبل يفرض تدريبات فنية وضح خلالها اعتمادة بشكل كبير التشكيلة خاض آخر مواجهتين وبحسب مصادر الرياضية سيعيد فلادن مواطنه ليوبومير فيجسا لاعب خط الوسط الدفاعي التشكيلة وسيكشف الاجتماع الفني اليوم اسم اللاعب سيترك مكانه الألماني مارين نوح الموسى ويحتل الفريق المركز الثاني برصيد 22 نقطة بفارق نقطتين الهلال المتصدر,فلادن يعيد فيجسا,0
عبدالإله المرحوم,الرياض,2021-01-02,01:43,ينتظر يخضع الروماني رازفان لوشيسكو مدرب فريق الهلال الأول لكرة القدم لاعبيه الأساسيين تدريبات استرجاعية اليوم يؤدي باقي اللاعبين تمارين اعتيادية تتنوع البدنية والفنية ضمن التحضيرات لمواجهة الباطن الجمعة المقبل الجولة 12 دوري كأس محمد بن سلمان للمحترفين سيناقش المدرب الروماني بداية التدريبات الملاحظات الفنية والأخطاء حدثت أمام الشباب المباراة انتهت بالتعادل 1 1 أمس الأول ضمن الجولة 11 ويعود لاعبو الفريق الهلالي أجواء التدريبات نالوا قسطا الراحة أمس عقب المجهود الكبير بذلوه أمام الشباب,الهلال يراجع الملاحظات,0
سلطان العتيبي,الرياض,2021-01-02,01:42,استعاد فريق الشباب الأول لكرة القدم جهود الليتواني جيدريوس أرلاوسكيس حارس المرمى مشاركته التدريبات الجماعية أمس عقب إكماله برنامجه اللياقي والتأهيلي وتشكل عودة الحارس الليتواني دفعة معنوية للفريق قبل مواجهة الاتحاد غد الدور نصف النهائي بطولة كأس محمد السادس للأندية الأبطال وكان البرتغالي بيدرو كايشينيا مدرب الفريق فرض تدريبات خفيفة أمس التعادل أمام الهلال 1 1 ضمن الجولة 11 الدوري أخضع اللاعبين الأساسيين تدريبات استرجاعية واستشفائية أجرى باقي اللاعبين تمارين تضمنت تدريبات لياقية وتكتيكية وتقرر يواصل الفريق تحضيراته للقاء الاتحاد بتدريبات مسائية ملعب النادي المغادرة جدة,الشباب يستعيد أرلا قبل العربية,0
حواس العايد,الرياض,2021-01-02,01:41,يبدأ فريق النصر الأول لكرة القدم اليوم استعداداته لمواجهة نظيره العين الجمعة المقبل ملعب مرسول بارك ضمن الجولة 12 دوري كأس محمد بن سلمان للمحترفين وكان الكرواتي آلن هورفات مدرب الفريق منح اللاعبين راحة لمدة 24 ساعة عقب الفوز الفيصلي بثلاثة أهداف مقابل هدفين أمس الأول الجولة 11 الدوري وينتظر يخصص المدرب الكرواتي الجزء الأول الحصة التدريبية لمناقشة الملاحظات الفنية دونها خلال مواجهة الفيصلي الأخيرة بهدف مراجعة الأخطاء وتفاديها المباريات المقبلة سيعمد تنويع الجزء الثاني التدريبات التمارين اللياقة والتكتيكية,النصر يبدأ تحضيرات العين,0
فيصل الشريف,جدة,2021-01-02,01:39,رفض البرازيلي فابيو كاريلي مدرب فريق الاتحاد الأول لكرة القدم منح لاعبيه راحة الفوز الباطن 2ـ1 وأخضعهم تدريبات مسائية ملعب النادي استعدادا للقاء الشباب إياب الدور نصف النهائي بطولة كأس محمد السادس للأندية الأبطال وقسم كاريلي اللاعبين مجموعتين الأولى ضمت اللاعبين شاركوا بصفة أساسية أمام الباطن وتركزت تدريباتهم التمارين الاسترجاعية أدى باقي اللاعبين تدريبات اعتيادية اشتملت الجوانب اللياقية والفنية بمشاركة الرأس الأخضري جاري رودريجيز أبدى جاهزية كبيرة شفائه الإصابة وكان الجهاز الفني اضطر تأخير موعد انطلاق التدريبات صلاة المغرب بسبب انشغال الملعب الرئيس بمباراة فريق الاتحاد لدرجة الشباب أمام نظيره الاتفاق,الراحة ممنوعة الاتحاديين,0
محمود وهبي,جدة,2021-01-02,01:38,تسعى الأندية فتح صفحة بيضاء بداية العام الجديد وسلوك طريق يؤدي النجاح نهاية المطاف رأسها الطرق المؤدية لقبي الدوري وكأس الملك سيما الأندية تبحث لقبها الأول أعوام طويلة الانتظار سعيا إنهاء فترة الغياب ويمضي النصر موسما سيئا صعيد دوري المحترفين ابتعاده المنافسة لكنه حجز مكانا ربع نهائي كأس الملك البطولة يصعد منصتها عام 1990 ويسعى النصر تجاوز العين ربع النهائي قبل مواجهة الفائز الباطن والفيصلي نصف النهائي وصولا المباراة النهائية ستشهد غياب أندية الهلال والأهلي والشباب ناحيته مسح الاتحاد خيبات الماضي الدوري خلال الموسم الجاري فلم يتذوق طعم الخسارة سقوطه أمام الاتفاق الجولة الأولى ابتعاده بفارق 6 نقاط صدارة الهلال يتمسك الاتحاد بحلم التتويج باللقب المشهد غاب عام 2009 تاريخ اللقب الأخير للاتحاد الدوري وبدوره حسن الشباب صورته الموسم الجاري مقارنة كانت المواسم الماضية يلعب دورا صراع اللقب يأمل الاستفادة تحركاته الذكية فترات الانتقال للبحث العودة منصة الدوري للمرة الأولى عام 2012,3 لائحة الانتظار,0
محمد السناني,المجمعة,2021-01-02,01:21,يستأنف فريق الفيصلي الأول لكرة القدم تدريباته اليوم الراحة منحها الجهاز الفني للاعبين أمس عقب الخسارة أمام النصر بنتيجة 2 3 أمس الأول ضمن منافسات الجولة 11 دوري كأس محمد بن سلمان للمحترفين وينتظر يعمد البرازيلي بريكليس شاموسكا مدرب الفريق تقسيم اللاعبين مجموعتين تدريبات اليوم جرت العادة التدريب الأول مباراة ويستعد الفيصلي لمواجهة أبها الخميس المقبل افتتاح مباريات الجولة 12,الفيصلي يعود,0
الرياضية,الرياض,2021-01-02,12:56,غزت جماهير الهلال والنصر حساب البرازيلي أليكس تيكسيرا عبر موقع التواصل الاجتماعي إنستجرام مطالبته بالانتقال الأزرق الأصفر خلال الفترة المقبلة وانتهى عقد تيكسيرا فريقه جيانجسو الصيني أخيرا لذلك فإنه بإمكانه التوقيع لأي فريق آخر صفقة انتقال حر خلال فترة التعاقدات الشتوية يجعله متاحا للذهاب الهلال النصر وظهرت جماهير الهلال والنصر بقوة عبر حسابات البرازيلي الرسمية أرسلت تعليقاتها بكثافة خلال بث اللاعب المباشر لتطالبه بالانتقال الملاعب السعودية يذكر أليكس تيكسيرا يتخذ قراره النهائي بشأن خطوته المقبلة مفضلا الانتظار الوقت قبل تحديد وجهته وفريقه الجديد,جماهير الهلال والنصر تغزو حساب البرازيلي تيكسيرا,0
الرياضية,الرياض,2021-01-02,12:49,بات فريق الفتح الأول لكرة القدم ثاني الحاصلين ركلات جزاء دوري كأس محمد بن سلمان للمحترفين بالتساوي النصر برصيد 5 جزائيات وبفارق واحدة الاتفاق واحتسب تركي الخضير الحكم ركلة جزاء للفتح أمس سجل المغربي مراد باتنا الجناح الأيمن هدفا مرمى ضمك الدقيقة 25 مباراة الفريقين ضمن الجولة 11 دوري كأس محمد بن سلمان للمحترفين وإجمالا أحرز باتنا 4 أهداف بقميص الفتح الدوري,خامس الركلات الجزائية,0
الرياضية,الرياض,2021-01-02,12:49,افتتح منصور حمزي المهاجم سجله التهديفي فريق ضمك الأول لكرة القدم بإحرازه هدفا شباك الفتح إحدى مواجهات الجولة 11 الدوري واحتاج حمزي 328 دقيقة موزعة 9 مباريات مواجهة الفتح فريقه السابق يسجل باكورة أهدافه ضمك,حمزي ينطلق,0
الرياضية,الرياض,2021-01-02,12:48,أنهى الهولندي ميتشيل فريدي مهاجم فريق الفتح الأول لكرة القدم غيابا التهديف دام 69 يوما بعدما عانقت تسديدته شباك ضمك خلال الجولة 11 الدوري وقبل الهدف ضل فريدي طريق مرمى الخصوم زيارته شباك الاتحاد 24 أكتوبر الماضي,69 يوما,0
الرياضية,الرياض,2021-01-02,12:42,استرد فريق ضمك الأول لكرة القدم خدمات الأرجنتيني كريستيان ليما مدافعه أمس غياب المباريات دام شهر وشكل ليما والجزائري فاروق شافعي دفاع ضمك مواجهة الفتح ضمن الجولة 11 دوري كأس محمد بن سلمان للمحترفين برفقة طارق عبد الله وعبد الله العمار الظهيرين وقبل مشاركته أمس غاب الأرجنتيني المباريات خوضه مواجهة الشباب 27 نوفمبر الماضي سادس جولات الدوري بداعي تمزق عضلي لحق إحدى الحصص التدريبية,ليما يعود,0
الرياضية,الرياض,2021-01-02,12:41,بدأ فريق الفتح الأول لكرة القدم عام 2021 بحصده أول انتصاراته حساب ضمك مضيفه مواجهة جمعتهما لحساب الجولة 11 دوري كأس محمد بن سلمان للمحترفين أنهاها لمصلحته بنتيجة 2ـ1 وانتصر الفتح ضمك ثالث مواجهة مباشرة بينهما تعادل وخسارة أمامه الموسم الماضي وتقدم الفريق الشرقي أولا بهدفين طريق المغربي مراد باتنا علامة الجزاء والهولندي ميتشيل فريدي الدقيقتين 25 و48 قبل يقلص منصور حمزي مهاجم ضمك النتيجة بهدف سجله الدقيقة 54 ورفع الفتح رصيده 16 نقطة محتلا المركز السابع تجمد رصيد ضمك 8 نقاط ليستمر المركز 16 الأخير,الفتح يعادل كفة ضمك,0
وليد الصيعري,الدمام,2021-01-02,12:40,سجل محمد الحايطي حارس مرمى فريق الاتفاق الأول لكرة القدم ثاني مشاركاته دوري كأس محمد بن سلمان للمحترفين بتعويضه غياب الجزائري رايس مبولحي زميله مواجهة الوحدة أمس ضمن الجولة 11 البطولة وتعود المشاركة الأولى للحايطي الدوري الجولة الخامسة عندما حرس مرمى الاتفاق أمام الفتح مواجهة خسرها فريقه برباعية نظيفة وأقحم خالد العطوي مدرب الاتفاق الحايطي التشكيل الأساسي إصابة مبولحي بتمزق الرباط الجانبي للركبة خلال تدريب أمس الأول,المشاركة الثانية,0
الرياضية,الرياض,2021-01-02,12:38,عجز فريق الاتفاق الأول لكرة القدم بدء العام الميلادي بتحقيق انتصار الدوري السعودي للمحترفين للموسم التاسع التوالي إثر هزيمته الوحدة ضيفه أمس بهدفين مقابل هدف واحد الجولة 11 البطولة فوزه الفتح بثلاثية نظيفة مطلع يناير 2010 فشل الاتفاق افتتاح عام ميلادي بحصد النقاط الثلاث مدار المواسم التالية الأخذ الاعتبار غيابه موسمي 2014 2015 و2015ـ2016,العقدة 9 مواسم,0
وليد الصيعري,الدمام,2021-01-02,12:36,اعتمد الجزائري رايس مبولحي حارس مرمى فريق الاتفاق الأول لكرة القدم عكاز للوصول ملعب الأمير محمد بن فهد الدمام أمس حرصا مؤازرة زملائه مواجهة الوحدة ضمن الجولة 11 دوري كأس محمد بن سلمان للمحترفين وتوجه مبولحي أثناء سير المباراة أحد المقاعد المخصصة لفريقه مدرجات الملعب بمساعدة أحد عناصر الطاقم الطبي لصعوبة مشيه منفردا بسبب إصابته بتمزق الرباط الجانبي للركبة حسبما أعلن ناديه أمس وتفاعل مبولحي أحداث المباراة موجها التعليمات لزملائه,مبولحي يحضر بعكاز,0
الرياضية,الرياض,2021-01-02,12:35,تلقت شباك فريق الاتفاق الأول لكرة القدم أمس الثنائية الرابعة عموما للفرنسي يوسف نياكاتي المهاجم بقميص الوحدة والأولى الموسم الجاري دوري كأس محمد بن سلمان للمحترفين وسبق لنياكاتي إحراز ثنائية للوحدة 3 مرات الموسم الماضي ولجت شباك الأهلي وأبها والعدالة الترتيب ورفع المهاجم البالغ 28 عاما رصيده الموسم الجاري 4 أهداف علما بأنه أحرز 16 الموسم السابق,ثنائية جديدة,0
وليد الصيعري,الدمام,2021-01-02,12:35,تكرر مشهد عودة رائد الزهراني الحكم معاينة شاشة تقنية أربع مرات أثناء إدارته مواجهة الاتفاق والوحدة أمس ضمن الجولة 11 دوري كأس محمد بن سلمان للمحترفين وساعدت التقنية الحكم إلغاء هدف للوحدة واحتساب ركلة جزاء للاتفاق أكدت قراريه برفض منح جزائيتين أخريين لكل فريق واستوجبت الحالات الأربع توجه الحكم لمطالعة الشاشة خارج الخطوط وسط ضغوطات واجهته الجانبين,4 قرارات ب,0
